,product_link,product_name,name_dimension,body_dimension
0,https://www.hp.com/in-en/shop/monitors/hp-m24fd-fhd-usb-c-monitor-474u2aa.html,HP M24fd FHD USB-C Monitor,"{'x': 379, 'y': 289, 'height': 56, 'width': 359}","{'x': 0, 'y': 0, 'height': 585, 'width': 785}"
1,https://www.hp.com/in-en/shop/monitors/hp-x24ih-gaming-monitor-13l82aa.html,HP X24ih Gaming Monitor,"{'x': 379, 'y': 287, 'height': 56, 'width': 359}","{'x': 0, 'y': 0, 'height': 585, 'width': 785}"
2,https://www.hp.com/in-en/shop/monitors/hp-v20-hd-monitor-1h849a6.html,HP V20 HD+ Monitor,"{'x': 379, 'y': 289, 'height': 28, 'width': 290}","{'x': 0, 'y': 0, 'height': 585, 'width': 785}"
3,https://www.hp.com/in-en/shop/monitors/hp-p19v-g4-monitor-9ty84aa.html,HP P19v G4 Monitor,"{'x': 379, 'y': 252, 'height': 28, 'width': 277}","{'x': 0, 'y': 0, 'height': 585, 'width': 785}"
4,https://www.hp.com/in-en/shop/monitors/hp-x24c-gaming-monitor-13q95aa.html,HP X24c Gaming Monitor,"{'x': 379, 'y': 252, 'height': 28, 'width': 357}","{'x': 0, 'y': 0, 'height': 585, 'width': 785}"
5,https://www.hp.com/in-en/shop/monitors/hp-m27-webcam-monitor-459k0aa.html,HP M27 Webcam Monitor,"{'x': 379, 'y': 289, 'height': 56, 'width': 359}","{'x': 0, 'y': 0, 'height': 600, 'width': 785}"
6,https://www.hp.com/in-en/shop/monitors/hp-m27ha-fhd-monitor-35m57aa.html,HP M27ha FHD Monitor,"{'x': 379, 'y': 289, 'height': 28, 'width': 331}","{'x': 0, 'y': 0, 'height': 585, 'width': 785}"
7,https://www.hp.com/in-en/shop/monitors/hp-v22v-fhd-monitor-450m4a6.html,HP V22v FHD Monitor,"{'x': 379, 'y': 287, 'height': 28, 'width': 306}","{'x': 0, 'y': 0, 'height': 600, 'width': 785}"
8,https://www.hp.com/in-en/shop/monitors/hp-v19-hd-monitor-9tn41a6.html,HP V19 HD Monitor,"{'x': 379, 'y': 289, 'height': 28, 'width': 268}","{'x': 0, 'y': 0, 'height': 585, 'width': 785}"
9,https://www.hp.com/in-en/shop/monitors/hp-m24-webcam-monitor-459j4aa.html,HP M24 Webcam Monitor,"{'x': 379, 'y': 252, 'height': 56, 'width': 359}","{'x': 0, 'y': 0, 'height': 600, 'width': 785}"
10,https://www.hp.com/in-en/shop/monitors/hp-m27fq-qhd-monitor-2h4b8aa.html,HP M27fq QHD Monitor,"{'x': 379, 'y': 289, 'height': 28, 'width': 330}","{'x': 0, 'y': 0, 'height': 600, 'width': 785}"
